question	output	answer
What can be cooked out of things belonging to the order Sapindales?	answer	The foods whose ingredient's order is Sapindales are answer.
List the software developed by Shawn Fanning ?	Napster	The software developed by Shawn Fanning is Napster.
Which scientist was advised by John Robert Woodyard?	Douglas Engelbart	Douglas Engelbart is the scientist whose advisor is John Robert Woodyard.
Who are the scientists known for the Manhattan Project?	Ernest Lawrence, Vannevar Bush, Chien-Shiung Wu, Philip Burton Moon, James Chadwick, George Kistiakowsky, Samuel King Allison, Alvin M. Weinberg, Robert Bacher, William G. Pollard, Robert E. Sheriff, Charles Critchfield	The scientists known for Manhattan Project are Ernest Lawrence, Vannevar Bush, Chien-Shiung Wu, Philip Burton Moon, James Chadwick, George Kistiakowsky, Samuel King Allison, Alvin M. Weinberg, Robert Bacher, William G. Pollard, Robert E. Sheriff, Charles Critchfield.
Give me a count of mammals whose family is Canidae?	218	There are 218 mammals whose family is Canidae.
What are the shows whose creator has worked as a screenwriter?	answer	The television shows created by a screenwriter are answer.
Does Beth Tweddle play for the City of Liverpool gymnast club?	Yes	Yes, Beth Tweddle play for the City of Liverpool gymnast club.
Who managed England national under-20 football team and Middlesbrough F.C.?	Gareth Southgate	Gareth Southgate is the common manager of England national under-20 football team and Middlesbrough FC.
Name the television show which was developed by Brian Graden and distributed by Comedy Central?	South Park	South Park is the television show developed by Brian Graden and distributed by Comedy Central.
Who is the person whose alma mater is Harvard-Westlake School?	Shirley Temple, Emily Deschanel, Pamela Susan Shoop	The people whose alma mater is Harvard-Westlake School are Shirley Temple, Emily Deschanel, Pamela Susan Shoop.
What is the official name of Arkansas wine ?	Arkansas	Arkansas is the official name of Arkansas wine .
What is the content license of Darcs?	GNU	The content license of Darcs is GNU.
From how many different places did the weapons used in the American Indian wars originate?	7	There are 7 places of origin of the weapons used in the American Indian Wars.
Who operates the south side elevated railroad?	Chicago	Chicago is the operator of the South Side Elevated Railroad .
Does Air 2000 fly to the north american continent?	Yes	Yes, North America is one of the destinations of Air 2000.
Where can I find things run by the maritime museum of San Diego?	San Diego, Embarcadero (San Diego)	The location of the things whose governing body is Maritime Museum of San Diego are San Diego, Embarcadero (San Diego).
Name the TV show whose network is NBC and is the subsequent work of Fraiser?	Cheers	Cheers is the television show whose network is NBC and is the subsequent work of Frasier.
Name the river whose source location is Nevado Mismi and region is Arequipa Region?	Amazon River	The river with source location Nevado Mismi and source region Arequipa Region is Amazon River.
Is Essex the Ceremonial County of West Tilbury?	Yes	Yes, Essex is the ceremonial county of West Tilbury.
When was Dick Redding born?	1890-04-14, Atlanta	The date of birth of Dick Redding is 1890-04-14, Atlanta.
Count the number of schools which are in a city governed by the West Berkshire Council?	28	There are 28 schools whose city's leader is West Berkshire Council.
Whose commanders are John Mc Ewen and Park Chunghee?	Vietnam War	The commanders John McEwen and Park Chung-hee are from Vietnam War.
What is the source country of reg Lake ?	Mongolia	Mongolia is the source country of reg Lake.
List the common sports played by Polytechnic University of the Philippines Bataan and Jamiatu Muslim Mindanao ?	Badminton, Basketball, Chess, Volleyball	The common sports of the Polytechnic University of the Philippines Bataan and Jamiatu Muslim Mindanao are Badminton, Basketball, Chess, Volleyball.
What is the birthplace of the Ferrel Harris which is also resting palce of Green Wix Unthank?	Kentucky	The birthplace of the Ferrel Harris and resting place of the Green Wix Unthank is Kentucky.
What is the incumbent of the Al Gore presidential campaign, 2000 and also the president of the Ann Lewis ?	Bill Clinton	Bill Clinton is the incumbent of the Al Gore presidential campaign, 2000 and the president of Ann Lewis.
Which spanish novel was published by Francisco de Robles?	Francisco de Robles	Don Quixote is the author of the Spanish book Francisco de Robles.
Where was WiZeefa founded?	Dubai, United Arab Emirates	The place of foundation of WiZeefa is Dubai, United Arab Emirates.
Is the Columbia University chaired by William Campbell?	Yes	Yes, William Campbell (business executive) is the chairman of Columbia University.
Does MSX BASIC have a license of microsoft?	Yes	Yes, Microsoft is the content licence of MSX BASIC.
Who is the operator of Rainbow Warrior (1955)?	Greenpeace	The operator of Rainbow Warrior (1955) is Greenpeace.
How many movies music composers are associated with Demis Roussos ?	17	There are 17 movies whose music composer's associate is Demis Roussos.
Which Tv series led to Frasier?	Cheers	The television show with subsequent work Frasier is Cheers.
What disease led to the demise of Letitia MacTavish Hargrave and Martino Martini?	Cholera	The disease that was the cause of death of both Letitia MacTavish Hargrave and Martino Martini is Cholera.
Which European sea has Oulu as one of the shore city ?	Baltic Sea	The sea whose location is in Europe and has shore city Oulu is Baltic Sea.
Which common prime minister did Graham Richardson and Bon McMullan serve ?	Paul Keating	The prime minister of both Graham Richardson and Bob McMullan is Paul Keating.
Who is the architect of Red House, London?	William Morris, Philip Webb, *	The architects of Red House, London are William Morris, Philip Webb, *.
Tell me the number of writers whose works have been recorded in Criteria Studios?	92	There are 92 writers whose works have been recorded in Criteria Studios.
What are the tenants of Mercedes-Benz Superdome?	New Orleans Saints, New Orleans VooDoo, Sugar Bowl, Portland Breakers, New Orleans Bowl, New Orleans Night, New Orleans Pelicans (baseball), Utah Jazz, Tulane Green Wave	The tenants of Mercedes-Benz Superdome are New Orleans Saints, New Orleans VooDoo, Sugar Bowl, Portland Breakers, New Orleans Bowl, New Orleans Night, New Orleans Pelicans (baseball), Utah Jazz, Tulane Green Wave.
Give me an estimate of the number of manufacturers whose products are managed by MTR?	12	There are 12 manufacturers whose products are operated by MTR.
What award has been given to Roy Walker as well as Walt Disney?	Academy Awards	The award won by Roy Walker and Walt Disney is Academy Awards.
Name the monarch of Lu Buwei?	King Zhuangxiang of Qin, Qin Shi Huang	The monarchs of Lu Buwei are King Zhuangxiang of Qin, Qin Shi Huang.
What rivers originate from Australian Alps?	Murray River	The river whose source place are the Australian Alps is Murray River.
Who is the scientist whose academic advisor is Franz Brentano?	Sigmund Freud, Kazimierz Twardowski	The scientists whose academic advisor is Franz Brentano are Sigmund Freud, Kazimierz Twardowski.
What is the movie whose producer is Michael Deeley and directed by  Ridley Scott?	Blade Runner	Blade Runner is the movie whose producer is Michael Deeley and directed by  Ridley Scott.
What is the publisher of Lucifer's Hammer ?	Playboy	Playboy is the publisher of Lucifer's Hammer.
Which place of birth of Nina Vislova is also the largest city of Union State?	Moscow	The largest city of the Union State and place of birth of Nina Vislova is Moscow.
List the team for which Doug Acomb played?	Toronto Maple Leafs	The team Doug Acomb played for is Toronto Maple Leafs.
Is the assembly of tofa ahin ethopia?	Yes	Yes, Ethiopia is the assembly of Tofa ahin.
List all the narrators of the albums which had Alan Barzman as one of the narrator ?	Ringo Starr, Dustin Hoffman, Alan Thicke, Alan Barzman	The narrators of the album whose one narrator is Alan Barzman are Ringo Starr, Dustin Hoffman, Alan Thicke, Alan Barzman.
Was Francisco Pizarro of the monarch of Charles 5, of the roman empire?	Yes	Yes, Charles V, Holy Roman Emperor was the monarch of Francisco Pizarro.
Name the mountain range of Le Giblou?	Swiss Alps	Swiss Alps is the mountain range of Le Gibloux.
How many rivers start in an English speaking country?	529	There are 529 rivers whose source country's official language is English.
What stadium's operator is Stan Kroenke?	Pepsi Center, Dick's Sporting Goods Park	The stadiums operated by Stan Kroenke are Pepsi Center, Dick's Sporting Goods Park.
Which office holder's successor is Adrian A. Basora and child named Lori Black?	Shirley Temple	Shirley Temple is the office holder whose successor is Adrian A. Basora and child is Lori Black.
List the relatives of the children of Jon Voight ?	Chip Taylor, Angelina Jolie, James Haven, Barry Voight	The relatives of the children of Jon Voight are Chip Taylor, Angelina Jolie, James Haven, Barry Voight.
Who is the coach of England national under-21 football team?	Gareth Southgate	The coach of England national under-21 football team is Gareth Southgate.
Which companies have launched from the Vandenberg Air Force Air base?	answer	The manufacturer of rocket companies who launch base is Vandenberg Air Force Base are answer.
Of the sports commonly played at Islamic Azad Uni, tehran, which one does Jon Speelman play?	Chess	The field of Jon Speelman and also sport of the Islamic Azad University Central Tehran Branch is Chess.
Does the little colorado river flow in the Grand Canyon?	Yes	Yes, Grand Canyon is the mouth mountain of Little Colorado River.
Which labels have published songs written by Harry Connick Jr?	Columbia Records, Sony	The labels of the songs whose writer is Harry Connick, Jr. are Columbia Records, Sony.
How many other key people are there of the non-profit organisations whose key people is Hillary Clinton ?	8	There are 8 key people of the non-profit organisations whose one key people is Hillary Clinton.
What is the region of the successor of Mr. Jerome B. Chaffee?	Colorado, Colorado's at-large congressional district	The regions of the successor of Jerome B. Chaffee are Colorado, Colorado's at-large congressional district.
Who was in conflicts of Fort Barrancas and Gadsden?	Andrew Jackson	The person who was in conflicts of Fort Barrancas and Fort Gadsden is Andrew Jackson.
Who is renowned for Ae Fond Kiss and poem of Halloween ?	Robert Burns	The writer whose notableworkss are Ae Fond Kiss and Halloween (poem) is Robert Burns.
What are the television shows whose distributor is a division of Warner Bros. International TV?	answer	The television shows distributed by a division of Warner Bros. International Television are answer.
Where was the person born whose successor was Le Hong Phong?	French Indochina, Hà Tĩnh, Tonkin	The birthplaces of the predecessors of Le Hong Phong are French Indochina, Hà Tĩnh, Tonkin.
List the common prime minister of the Robert Ray and graham richardson ?	Bob Hawke, Paul Keating	The prime ministers of both Robert Ray and Graham Richardson are Bob Hawke, Paul Keating.
What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor?	Carmen Electra	The actress of the The Mating Habits of the Earthbound Human and associate musical artist with Mams Taylor is Carmen Electra.
Which professional fighter, who is also a politician and was elected to House of Representatives of the Philippines?	Manny Pacquiao	Manny Pacquiao is a member of the House of Representatives of the Philippines.
Is Albert P Clark buried in Colorado?	Yes	Yes, Colorado is the place of burial of Albert P. Clark.
Which is the city closest to both the Lodaiska site and the home of David w brown?	Colorado	Colorado is the nearest city to both LoDaisKa site and David W. Brown house.
Is north caucasian emirate have an islamic government?	Yes	Yes, north caucasian emirate have an islamic government.
What all are in the states whose anthem is Ja, vi esker dette landet?	answer	The things whose country's anthem is Ja, vi elsker dette landet are answer.
How many titles were given to people who engaged in the Operation Dragoon?	100	There are 100 awards of the people who fought in Operation Dragoon.
Where was Ganefo hosted?	Phnom Penh, Cambodia, Jakarta, Indonesia	The host cities of GANEFO are Phnom Penh, Cambodia, Jakarta, Indonesia.
Who is the performer of Bengali in Platforms?	Morrissey	The performer of Bengali in Platforms is Morrissey.
Which collaborator of Nice and Smooth wrote Same Song ?	Tupac Shakur	Tupac Shakur is the associated band of Nice & Smooth and writer of the Same Song (Digital Underground song).
In which state is the team, which has John Roeslein?	Missouri, Missouri	The state of the team of John Roeslein is Missouri, Missouri.
How many cities are around the sea in which the the fig tree bay meets?	13	There are 13 cities of the sea which inflows the Fig Tree Bay.
In which country does the publishing house exist which was cofounded by Panos Loannides?	Cyprus	The country where publishing house cofounded by Panos Loannides exist is Cyprus.
What awards have been given to race horses bred by Bert Michell?	Lincoln Heritage Handicap, Kentucky, National Museum of Racing and Hall of Fame, Florence, Kentucky	The honors of the racehorses trained by Bert S. Michell are Lincoln Heritage Handicap, Kentucky, National Museum of Racing and Hall of Fame, Florence, Kentucky.
To what political party do the politicians graduated from Somerville college, Oxford belong to?	Indian National Congress, Conservative Party (UK), Labour Party (UK), Liberal Democrats, Social Democratic Party (UK), Labour Co-operative	The political parties of the officeholders whose alma mater is Somerville College, Oxford are Indian National Congress, Conservative Party (UK), Labour Party (UK), Liberal Democrats, Social Democratic Party (UK), Labour Co-operative.
Count the number of characters in Batman Live?	11	There are 11 characters in Batman Live.
What is the profession of Claiborne Pell ?	United States Coast Guard, United States Senate, Diplomat	Claiborne Pell worked for United States Coast Guard, United States Senate, Diplomat.
Who used to skate with the pupils of Laureano Ibarra?	Brynn Carman, Shawnee Smith, Andrea Poapst, Ivan Dimitrov (figure skater), Bridget Namiotka, Caitlin Yankowskas	The former partners of the skaters coached by Laureano Ibarra are Brynn Carman, Shawnee Smith, Andrea Poapst, Ivan Dimitrov (figure skater), Bridget Namiotka, Caitlin Yankowskas.
Count everyone who lives in a place where Indian English is an official language?	1199	There are 1199 people whose residence's official language is Indian English.
What are the notable commanders of the army whose one of the notable commanders is Paul Hausser?	Sepp Dietrich, Theodor Eicke, Joachim Peiper, Paul Hausser, Felix Steiner, Kurt Meyer, Obergruppenführer, Brigadeführer, Oberführer, Heinrich Himmler	The notable commanders of the groups whose one commander is Paul Hausser are Sepp Dietrich, Theodor Eicke, Joachim Peiper, Paul Hausser, Felix Steiner, Kurt Meyer, Obergruppenführer, Brigadeführer, Oberführer, Heinrich Himmler.
Name the movie in which Vangelis gave the music and Jordan was the cinematographer?	Blade Runner	The movie composed by Vangelis and with Jordan Cronenweth as director of photography is Blade Runner.
Which football managers managed Middlesbrough F.C.?	answer	The football managers who managed Middlesbrough F.C. are answer.
Who is the manufacturer of engine of Jeep Forward Control ?	Ford Motor Company, American Motors, Willys, Kaiser Jeep	The producers of the engine of Jeep Forward Control are Ford Motor Company, American Motors, Willys, Kaiser Jeep.
Give me a count of bridges located in California ?	9	There are 9 bridges located in the area of California.
Who represent the constituencies of Noe Valley and Duboce Triangle ?	Harvey Milk	Harvey Milk represented the constituencies of Noe Valley, San Francisco and Duboce Triangle, San Francisco.
Which ethinicity of  Riley Reid is the state of origin of Holmes Colbert?	Chickasaw	The ethnic group of the Riley Reid and state of origin of the Holmes Colbert is Chickasaw.
Does Ford own the Ford Kansas Assembly plant?	Yes	Yes, Ford Motor Company is the owning organisation of Ford Kansas City Assembly Plant.
How many TV shows are of the company which has the subsidiary Big Ticket Entertainment?	256	There are 256 television shows whose company's subsidiary is Big Ticket Entertainment.
Which athlete was the flag bearer for Switzerland in 2004 and 2008 summer Olympics?	Roger Federer	The flag bearer for Switzerland in 2004 and 2008 summer Olympics is Roger Federer.
What awards have been once awarded to Ingmar Bergman, and have employed the service of Laemmle Theatres?	Academy Awards	Academy Awards is the award of Ingmar Bergman and the service of Laemmle Theatres.
Which city is the resting place of the Martin Ragaway and Chuck Connors ?	Los Angeles	The resting place of Martin Ragaway and Chuck Connors is Los Angeles.
Which currency of Republic of Montenegro is also the currency of the French Southern and Antarctic Lands ?	Euro	The common currency of the French Southern and Antarctic Lands and Republic of Montenegro is Euro.
Name the TV show whose company is Playtone and written by Graham Yost?	Band of Brothers (miniseries), The Pacific (miniseries)	The television shows that belong to Playtone company and are written by Graham Yost are Band of Brothers (miniseries), The Pacific (miniseries).
Which is the common prospect team of Mikhail Pashnin and Robin kovacs ?	New York Rangers	New York Rangers is the prospect team for both Mikhail Pashnin and Robin Kovacs.
Does Mauritius follow a parliamentary republic?	Yes	Yes, parliamentary republic is the government type of Mauritius.
Which creator of Theme Time Radio Hour has also given the musical score of the The Times They Are a-Changin' (musical)?	Bob Dylan	The creator of the Theme Time Radio Hour and music composer of The Times They Are a-Changin' (musical) is Bob Dylan.
Which movies have music artist who died from a cardiovascular disease?	answer	The movies whose music artist died from Cardiovascular disease are answer.
Was George Washington on the rank of general?	Yes	Yes, general was the military rank of George Washington.
What made Jon Speelman and Eric Schiller famous?	Chess	Chess is the field that made famous both Jon Speelman and Eric Schiller.
What are the settlements whose neighbouring municipality is Lancy?	Geneva, Onex, Switzerland, Plan-les-Ouates, Carouge, Vernier, Switzerland	The settlements with Lancy as a neighbouring municipality are Geneva, Onex, Switzerland, Plan-les-Ouates, Carouge, Vernier, Switzerland.
What is the draft team of Bob MacMillan?	New York Rangers	The draft team of Bob MacMillan is New York Rangers.
Who acted in the movies whose music is composed by Walter Scharf?	Elvis Presley	Elvis Presley is the artist of the film whose music is composed by Walter Scharf.
Which famous political figure appointed william cushing, and also founded Pittsburgh>	George Washington	George Washington is the founders of the Pittsburgh and appointer of William Cushing.
Who is relative of the people died in Bergen-Belsen concentration camp?	Anne Frank	The relative of the person who died in Bergen-Belsen concentration camp is Anne Frank.
What is the region of Lumberjack  ?	Michigan, Norman Township, Michigan	The region of Lumberjack 100 is Michigan, Norman Township, Michigan.
What is the home town of the musician of Jack your Body ?	Chicago	The home town of the musician of Jack your Body is Chicago.
What is on the border of the places which fall under crook county municipality, oregon?	Idaho, Nevada, Blue Mountains (Pacific Northwest), Cascade Range	The borders of the places with Crook County, Oregon as municipality are Idaho, Nevada, Blue Mountains (Pacific Northwest), Cascade Range.
How many people have fought wars where Arthur St. Clair was a commander?	8	There are 8 combatants in the military conflicts commanded by Arthur St. Clair.
Who edited  British Gazette ?	Winston Churchill	Winston Churchill is the editor of British Gazette .
Which award that has been given to James F Obrien, had used Laemmle Theatres for some service?	Academy Awards	Academy Awards is the service of the Laemmle Theatres and the award of James F. O'Brien.
Who is the producer of the album, after which A Nice pair was released ?	Pink Floyd	Pink Floyd is the producer of the previous work of A Nice Pair.
Which company owns Sony bank ?	Sony	The owning company of Sony Bank is Sony.
Name the street address of Rhodes-Haverty Building ?	134, Atlanta	The street address of Rhodes-Haverty Building is 134, Atlanta.
How many shows belong to the networks one of whose sister station is BBC News?	1474	There are 1474 television shows whose network's sister channel is BBC News.
Who is the producer of Frampton's Camel ?	Peter Frampton	The producer of Frampton's Camel is Peter Frampton.
Where are the homestadiums of the seasons chaired by Merritt Paulson?	Portland, Oregon, Providence Park, List of association football stadiums by capacity, Merlo Field, Oregon	The home stadiums of the soccer club seasons whose chairman is Merritt Paulson are Portland, Oregon, Providence Park, List of association football stadiums by capacity, Merlo Field, Oregon.
How many religions are followed amongst the people who've worked in the Korean army?	10	There are 10 religions followed by military people of the Republic of Korea Army.
List all the members of the organization whose one of the members is Bangladesh ?	Bangladesh, India, Maldives, Sri Lanka, Bhutan, Nepal	The members of the organization whose one of the members is Bangladesh are Bangladesh, India, Maldives, Sri Lanka, Bhutan, Nepal.
Where was the Temptation Waits recorded?	Madison, Wisconsin, Wisconsin, Smart Studios	The places where the Temptation Waits was recorded are Madison, Wisconsin, Wisconsin, Smart Studios.
Where Everybody knows you is the theme album of which show ?	Cheers	The album of Where Everybody Knows Your Name is Cheers.
Where was the company who is the operator of Harihar Airport founded ?	Mumbai	Mumbai is the place where the company operated by Harihar Airport was founded.
What was the career of some people who have committed suicide?	answer	The professions of the people who have committed suicide are answer.
What is the alma mater of Marshall Fletcher McCallie and has affiliation with Vanderbilt University Medical Center?	Vanderbilt University	The alma mater of Marshall Fletcher McCallie and affiliation of Vanderbilt University Medical Center is Vanderbilt University.
What are some short story kind of Books?	answer	The books with literary genre short story are answer.
How many islands belong to archipelagos located in the pacific?	141	There are 141 islands whose archipelago's location is pacific ocean.
What is the origin of the grape whose wine region is the Troodos Mountains ?	Cyprus	Cyprus is the origin of the grape whose wine region is Troodos Mountains.
Who all did their high school in Denbigh high School?	Mike Tomlin	Mike Tomlin did his high school in Denbigh High School.
What is the career of George Arceneaux, Jr. ?	Lawyer, United States Senate, United States district court	The careers of George Arceneaux, Jr. are Lawyer, United States Senate, United States district court.
What is the nationality of the entomologist who is a renowned authority of Smerinthus saliceti ?	France	France is the country of citizenship of the entomologist who is the binomial authority of Smerinthus saliceti.
What products do US companies make?	answer	The products US companies make are answer.
What is the scientist whose PhD students are Erich Bagge and Serban Titeica?	Werner Heisenberg	Werner Heisenberg is the scientist with doctoral students Erich Bagge and Serban Titeica.
What is father's name who also served in military of Carlene Carter?	Johnny Cash	 Johnny Cash the the father who also served in the military.
Give me a count of movies whose film editor is Anthony Harvey?	12	There are 12 films edited by Anthony Harvey.
Who designed Oddamavadi Bridge?	Sri Lanka, British Ceylon	The designers of Oddamavadi Bridge are Sri Lanka, British Ceylon.
What are the veneration of the one for which there's a major shrine in Hebron?	Bahá'í Faith, Christianity, Judaism, Islam	The venerations of the saint whose major shrine is in Hebron are Bahá'í Faith, Christianity, Judaism, Islam.
What is the nationality of the economist who is one of the important people in the Foundation for Economic Education?	Pennsylvania, United States	The nationality of the economist who is the key person in the Foundation for Economic Education is Pennsylvania, United States.
What are some books whose cover illustration is designed by Marshall Arisman?	American Psycho, Millroy the Magician	The books with Marshall Arisman as a cover artist are American Psycho, Millroy the Magician.
List the judge of the TV show whose one of the judge is Ludacris ?	Brad Paisley, Ludacris, Kesha	Brad Paisley, Ludacris, Kesha are the judges of the TV show whose one of the judge is Ludacris.
To which city does Northeast Library belong?	Minneapolis	The city of the Northeast Library is Minneapolis.
In which state does the valley bordering the Modoc plateau lie?	California, Oregon	The states of the valley bordering the Modoc Plateau are California, Oregon.
What is the casting of the movie directed by Justin Zackham ?	Robin Williams, Topher Grace, Diane Keaton, Amanda Seyfried, Ben Barnes (actor), Katherine Heigl, Robert De Niro, Susan Sarandon, *, Laura Harris, Chris Owen (actor), Simon Rex, Dylan Bruno, Dublin James	The cast members of the movies directed by Justin Zackham are Robin Williams, Topher Grace, Diane Keaton, Amanda Seyfried, Ben Barnes (actor), Katherine Heigl, Robert De Niro, Susan Sarandon, *, Laura Harris, Chris Owen (actor), Simon Rex, Dylan Bruno, Dublin James.
Which awards did the parents of Anna Bergman win?	Academy Awards, Goethe Prize, Praemium Imperiale	The awards of the parent of Anna Bergman are Academy Awards, Goethe Prize, Praemium Imperiale.
Which work institutions of Andrew Schally is the alma mater of Mara Eugenia Rojas Correa ?	Tulane University	The work institution of Andrew Schally and alma mater of Mara Eugenia Rojas Correa is Tulane University.
Who owns the websites for which Jimmy wales writes?	Wikimedia Foundation, Bomis, Wikia	The owner of the websites whose writer is Jimmy Wales is Wikimedia Foundation, Bomis, Wikia.
Which party of Rishang Keishing is the leader at Manendragarh?	Indian National Congress	The leader name of Manendragarh and party of Rishang Keishing is Indian National Congress.
Which baseball team is owned by Robert Nutting?	Pittsburgh Pirates	Pittsburgh Pirates is the baseball team owned by Robert Nutting.
What is the alma mater of the James Still which is also the alma mater of Tom Maniatis?	Vanderbilt University	Vanderbilt University is the alma mater of both James Still and Tom Maniatis.
Where are the tombs of alumni of national academy museum and school?	Pennsylvania, Honesdale, Pennsylvania, Old Gray Cemetery	The resting places of the National Academy Museum and School graduates are Pennsylvania, Honesdale, Pennsylvania, Old Gray Cemetery.
In which countries were the Russian volleyball team players born?	Valladolid, Spain, Volgograd, Russia, Ivanovo, Soviet Union, Moscow	The birthplaces of the players of Russia women's national volleyball team are Valladolid, Spain, Volgograd, Russia, Ivanovo, Soviet Union, Moscow.
What is the total number of guests on the show whose theme music is Let me be your star?	22	There are 22 guests on the show whose music is Let Me Be Your Star.
Cologny and Lancy are the neighboring municipalities of which place ?	Geneva	The neighboring municipalitiess of Cologny and Lancy is Geneva.
How many areas are led by Willem Alexander?	8	There are 8 places whose leader is Willem-Alexander of the Netherlands.
What are some music artists whose bands have signed up with Entertainment One Music?	answer	The members of the bands which have signed up with Entertainment One Music label are answer.
What is the Location of the Dofinivka Estuary which is also the  birthplace of the Liliya Lobanova ?	Ukraine	Ukraine is the birthplace of  Liliya Lobanova and Dofinivka Estuary also situated there.
Who is the prime minister that Michael Jeffery served?	Kevin Rudd, John Howard	The prime ministers of Michael Jeffery are Kevin Rudd, John Howard.
Who is the person opposed by Tom McLaury and Ike Clanton?	Wyatt Earp	The person with both Tom McLaury and Ike Clanton as opponents is Wyatt Earp.
Who was the First Driver of 1999 San Marino Grand Prix ?	Michael Schumacher	Michael Schumacher was the first driver of 1999 San Marino Grand Prix.
What continent of the world has Baja California peninsula and also has WEPG in one of its cities?	North America	The continent where Baja California Peninsula is located and has WEPG in one of its cities is North America.
Who is the builder of Estadio Nacional de Costa Rica (2011) ?	China	The constructor of Estadio Nacional de Costa Rica (2011) is China.
What is the alma mater of the author of Letter to a Christian Nation?	Stanford University, University of California, Los Angeles	The alma maters of the writers of Letter to a Christian Nation are Stanford University, University of California, Los Angeles.
Name an airline with hub airports as Los Angeles International Airport and San Francisco International Airport?	Virgin America	The airline whose hub airport is Los Angeles International Airport and San Francisco International Airport is Virgin America.
Name the other wine region of the grapes whose one of the wine region is Michigan?	Michigan, Ontario, Pennsylvania, Wisconsin, Oregon, New York, New Mexico wine, Mississippi	The regions of the wine grape whose one region is Michigan are Michigan, Ontario, Pennsylvania, Wisconsin, Oregon, New York, New Mexico wine, Mississippi.
Who is the fictional character who starred in The Dognapper?	Mickey Mouse	Mickey Mouse is the fictional character starred in The Dognapper.
List the notable works of the writer of The Tony Randall Show?	Cheers, Frasier, Mad Men, M*A*S*H (TV series)	The notable works of the writer of The Tony Randall Show are Cheers, Frasier, Mad Men, M*A*S*H (TV series).
In which television shows have Steven Moffat served as an executive producer?	answer	The television shows whose executive producer is Steven Moffat are answer.
Name the  former broadcast network of the television station which is the sister stations of WGBC?	WANN-CD, The CW, NBC, National Football League, American Broadcasting Company, Fox Broadcasting Company, WTVA	The former broadcast networks of the television station which is the sister stations of WGBC are WANN-CD, The CW, NBC, National Football League, American Broadcasting Company, Fox Broadcasting Company, WTVA.
Where did the members of judge advocate general corps study?	Paul M. Hebert Law Center, Louisiana State University, Baker High School (Louisiana), Tulane University Law School, Tulane University, Trinity University (Texas), University of Texas School of Law	The alma mater of the judges whose military rank is Judge Advocate General's Corps, United States Army are Paul M. Hebert Law Center, Louisiana State University, Baker High School (Louisiana), Tulane University Law School, Tulane University, Trinity University (Texas), University of Texas School of Law.
Where was Babita born ?	Mumbai, Bombay State	The birthplace of Babita is Mumbai, Bombay State.
What is the homeport of INS Viraat (R22) ?	Maharashtra, Mumbai, HMNB Portsmouth	The homeports of INS Viraat (R22) are Maharashtra, Mumbai, HMNB Portsmouth.
Did the New Way party merge in the One Israel party?	Yes	Yes, New Way party has merged into One Israel.
In how many different wars have people graduated from the Army Command and General staff college fought?	23	There are 23 battles fought by people whose alma mater is United States Army Command and General Staff College.
Name some people working at someplace owned by News Corp.	Lincoln Steffens, Ludwig Lore, Rheta Childe Dorr, Steve Cuozzo, James Wechsler	The people employed by companies which are owned by News Corp are Lincoln Steffens, Ludwig Lore, Rheta Childe Dorr, Steve Cuozzo, James Wechsler.
What currencies are circulated in the countries where people speak French?	answer	The currencies of the French speaking places are answer.
What is the official residence of the senator who is the deputy of Everett Dirksen?	Pennsylvania, Philadelphia	The deputy senator of Everett Dirksen lives in Pennsylvania, Philadelphia.
What is the venerated in of Edwin of Northumbria ?	Anglican Communion, Eastern Orthodox Church, Catholic Church	The venerated in of Edwin of Northumbria are Anglican Communion, Eastern Orthodox Church, Catholic Church.
List the products of Playboy Enterprises?	Playboy, Sex industry, Playboy TV, Playboy Enterprises	The products of Playboy Enterprises are Playboy, Sex industry, Playboy TV, Playboy Enterprises.
Who employed the person famous for the Boeing fa18ef Super Hornet?	McDonnell Aircraft, Boeing	The employers of the person known for Boeing F/A-18E/F Super Hornet are McDonnell Aircraft, Boeing.
What religion is practiced by Hirunika Premachandra, and many others south asians in Hong Kong?	Buddhism	Buddhism is the religion of the South Asians in Hong Kong and Hirunika Premachandra.
Was Blade Runner cinematographed by JordanCronenweth?	Yes	Yes, Jordan Cronenweth is the director photography of Blade Runner.
Which company founded by Fusajiro Yamauchi gives service as Nintendo Network?	Nintendo	The company whose founder is Fusajiro Yamauchi and services is Nintendo Network is Nintendo.
How did the child of Stevens T. Mason die?	Cholera	Cholera is the cause of death of the child of Stevens Thomson Mason.
List the birthplace of the medicians who studied in Harvard.	New York, Yonkers, New York, Stanton, Nebraska, United States, Brookline, Massachusetts, Japan, Yokohama, Austria-Hungary, Vienna, Austria, San Francisco, Hartford, Connecticut, Wilkes-Barre, Pennsylvania, Chicago, Illinois	The birthplaces of the doctors who graduated from Harvard Medical School are New York, Yonkers, New York, Stanton, Nebraska, United States, Brookline, Massachusetts, Japan, Yokohama, Austria-Hungary, Vienna, Austria, San Francisco, Hartford, Connecticut, Wilkes-Barre, Pennsylvania, Chicago, Illinois.
